,emoji,count
1120,👩‍🔬,297
957,👩‍🍳,295
1161,🧛‍♂️,290
1451,🇱🇸,289
1002,🇸🇽,284
1021,🇧🇿,283
910,㊗️,282
1397,📫,280
1464,👨‍👩‍👧‍👧,279
1212,🌡️,279
1430,🏚️,277
642,🕣,277
1345,🏷️,275
975,💇‍♂️,275
971,🤹‍♀️,273
1317,💇‍♀️,272
1086,🚞,269
1456,🇦🇶,268
1442,🇦🇸,266
1042,👩‍✈️,266
859,🇧🇲,263
1440,🇦🇴,261
1283,🥫,258
1341,🤶,257
1171,👝,257
1463,⛎,250
1338,🆖,250
1108,🗑️,247
1375,🗾,246
1356,📴,246
1357,🌦️,245
650,👨‍🌾,245
1407,🇳🇮,244
1143,🛃,243
576,🧗,242
1446,🇳🇪,242
1431,📤,239
1339,🚣‍♀️,236
839,🇭🇳,235
864,🇨🇾,234
1298,🏘️,231
1429,🇳🇦,230
1388,👨‍👧,224
1174,🖋️,223
675,👨‍🔬,221
1250,🤽,221
1094,🥠,219
1287,👨‍👩‍👦‍👦,218
895,🇬🇳,218
734,🎚️,217
1421,🔏,217
1381,🗒️,216
1024,🇬🇺,215
1455,🚻,215
989,🇬🇹,215
1145,⛹️,205
1048,🛣️,203
1437,🧛‍♀️,202
1119,👩‍💼,200
1275,👩‍🌾,199
988,🇧🇳,197
1439,🇲🇲,197
1179,🧓,197
1342,🇲🇼,197
1254,🕟,197
1347,🕍,196
1462,🈯,196
1165,⛹️‍♂️,195
1152,🌫️,195
543,🇫🇯,194
1227,🏜️,194
580,⚱️,192
1391,🏞️,192
758,🗯️,192
1392,⛹️‍♀️,191
862,🇰🇿,191
1169,👨‍💼,190
1344,🇲🇹,190
1413,🛳️,186
1457,👩‍👧‍👦,184
1385,🕞,183
1488,🇨🇻,182
749,🇲🇰,179
1217,🈴,178
1297,🖍️,178
1422,🕴️,176
877,👩‍⚖️,175
1529,🇰🇳,174
1272,🕡,173
464,💆‍♂️,172
1208,㊙️,171
1476,🚝,171
1243,🕢,171
1477,🇬🇪,169
863,🇩🇲,167
1009,🇸🇸,165
1327,🇧🇾,164
1281,🕉️,163
900,🉑,161
1361,🇲🇿,161
1427,🤼,160
1454,🕳️,159
1503,🏤,158
1299,🛏️,156
1302,👨‍🔧,155
888,👩‍👩‍👧,154
1329,🏬,153
1418,🕠,152
1190,🧘‍♂️,152
1318,📪,151
1526,🏗️,151
1377,🇫🇴,151
1438,💂‍♂️,150
1445,🇺🇿,149
1521,🛥️,149
1046,🧜‍♂️,146
932,🇱🇦,144
1433,🇰🇾,143
836,🇵🇬,143
1404,🕦,142
1289,🕥,138
1337,🛂,138
1336,🈂️,137
1010,🇸🇿,137
1376,🇽🇰,137
1386,🇦🇽,136
1301,🛄,135
1355,*️⃣,134
1472,🇻🇨,133
1007,🇹🇨,133
876,👨‍⚖️,131
1475,👨‍👧‍👧,130
1053,📭,128
993,🇹🇩,128
1528,🚠,128
1168,🇬🇮,128
1175,🇻🇦,127
1015,🇸🇨,127
1415,🇧🇯,127
1076,🇹🇬,127
1400,🈲,126
1544,🇨🇰,125
926,⏭️,125
1499,👩‍👩‍👦,123
776,🕤,122
1146,🇨🇬,121
1350,🇲🇺,121
1369,👨‍👦‍👦,121
1542,👨‍👨‍👦‍👦,120
1470,👷‍♂️,120
1426,🎛️,119
1432,🚱,118
1207,👨‍👧‍👦,118
1460,🇹🇯,113
1494,🇦🇩,112
1351,🏕️,111
773,🤾‍♂️,109
1223,👩‍👩‍👧‍👧,109
1279,🇺🇳,109
1216,🈳,108
1447,🇲🇩,106
1032,📇,106
